idx,SPLINE_X,SPLINE_Y,SENSOR_TIMESTAMP,SENSOR_PRESSURE,SENSOR_ALTITUDE,SENSOR_AZIMUTH
3,389.84124755859375,197.5361785888672,1722443391587.491,0.8800000000000002,0.67,0.7
3,390.278564453125,197.4965362548828,1722443391587.495,0.8800000000000002,0.67,0.7
3,390.7077941894531,197.47174072265625,1722443391587.499,0.8800000000000002,0.67,0.7
3,391.1260681152344,197.45965576171875,1722443391587.503,0.8800000000000002,0.67,0.7
3,391.52288818359375,197.4571075439453,1722443391587.508,0.8800000000000002,0.67,0.7
3,391.90142822265625,197.45997619628906,1722443391587.511,0.8800000000000002,0.67,0.7
3,392.2623596191406,197.4630889892578,1722443391587.515,0.8800000000000002,0.67,0.7
3,392.6088562011719,197.46456909179688,1722443391587.52,0.8800000000000002,0.67,0.7
3,392.93206787109375,197.46463012695312,1722443391587.523,0.8800000000000002,0.67,0.7
3,393.2296142578125,197.46435546875,1722443391587.531,0.8800000000000002,0.67,0.7
3,393.4923400878906,197.4838409423828,1722443391587.534,0.8800000000000002,0.67,0.7
3,393.7271423339844,197.54937744140625,1722443391587.54,0.8700000000000002,0.67,0.7
3,393.9405822753906,197.67486572265625,1722443391587.542,0.8700000000000002,0.67,0.7
3,394.17059326171875,197.86488342285156,1722443391587.55,0.8700000000000002,0.67,0.7
3,394.42730712890625,198.098876953125,1722443391587.553,0.8700000000000002,0.67,0.7
3,394.6936950683594,198.34312438964844,1722443391587.557,0.8700000000000002,0.67,0.7
3,394.9296875,198.57366943359375,1722443391587.568,0.8700000000000002,0.67,0.7
3,395.1138610839844,198.78602600097656,1722443391587.569,0.8700000000000002,0.67,0.7
3,395.25653076171875,198.98487854003906,1722443391587.569,0.8700000000000002,0.67,0.7
3,395.3878479003906,199.18150329589844,1722443391587.574,0.8700000000000002,0.67,0.7
3,395.5233459472656,199.3914794921875,1722443391587.578,0.8600000000000002,0.67,0.7
3,395.66497802734375,199.6259307861328,1722443391587.584,0.8600000000000002,0.67,0.7
3,395.80126953125,199.87184143066406,1722443391587.588,0.8600000000000002,0.67,0.7
3,395.9334411621094,200.10366821289062,1722443391587.591,0.8600000000000002,0.67,0.7
